question,distractor3,distractor1,distractor2,correct_answer,support
A converging lens forms a real image when the object is:,At infinity only,Between the lens and focal point,At the focal point,Beyond the focal point,"A converging (convex) lens forms a real, inverted image when the object is beyond the focal point (object distance > f). When the object is between F and the lens, a virtual, magnified, upright image is formed (as in a magnifying glass). At 2f, the image is same size."
What is the refractive index of a medium?,Ratio of wavelength in air to wavelength in medium,Ratio of angles of incidence and refraction,The bending angle of a light ray,Ratio of speed of light in vacuum to speed in the medium,"Refractive index n = c/v, where c is the speed of light in vacuum and v is the speed in the medium. For glass n ≈ 1.5, meaning light travels 1.5 times slower in glass than in vacuum. A higher n means more optical density and greater bending of light."
Which colour of visible light has the highest frequency?,Yellow,Red,Green,Violet,"The visible spectrum ranges from red (lowest frequency, ~430 THz, longest wavelength ~700 nm) to violet (highest frequency, ~750 THz, shortest wavelength ~400 nm). Higher frequency means higher energy (E = hf), which is why UV light is more damaging than infrared."
A plane mirror always forms an image that is:,"Real, upright, and diminished","Real, inverted, and same size as object","Virtual, inverted, and magnified","Virtual, upright, and same size as object",A plane mirror forms a virtual image (cannot be projected on screen) that is upright (same orientation as object) and laterally inverted (left-right reversed). The image is the same size as the object and appears to be as far behind the mirror as the object is in front.
What is dispersion of light?,Absorption of certain wavelengths,Bending of light around obstacles,Bouncing of light off surfaces,Splitting of white light into its component colours,"Dispersion occurs because different wavelengths (colours) of light travel at slightly different speeds in a medium, giving different refractive indices. A prism separates white light into ROYGBIV because violet is refracted most (highest n) and red least (lowest n)."
"In Young's double-slit experiment, the fringe spacing depends on:",The type of light source,Only the light intensity,Only the slit width,"Wavelength, slit separation, and screen distance","Fringe spacing Δy = λD/d, where λ is wavelength, D is screen distance, and d is slit separation. This shows light has wave properties through interference. Wider slits or smaller wavelength gives narrower fringes. Young's experiment in 1801 demonstrated the wave nature of light."
What is the photoelectric effect?,Emission of light from heated metals,Bending of light around corners,Splitting of light into colours,Emission of electrons from a surface when light strikes it,The photoelectric effect: electrons are emitted from a metal surface when light of sufficient frequency is incident on it. Einstein explained this by proposing light comes in discrete packets (photons) with energy E = hf. This earned him the 1921 Nobel Prize.
Planck's constant has a value of approximately:,9.11 × 10⁻³¹ J·s,6.67 × 10⁻¹¹ N·m²/kg²,1.6 × 10⁻¹⁹ J·s,6.63 × 10⁻³⁴ J·s,"Planck's constant h = 6.63 × 10⁻³⁴ J·s was introduced by Max Planck to explain blackbody radiation. It sets the scale of quantum effects. The energy of a photon E = hf, and ℏ = h/2π appears throughout quantum mechanics."
Which model of the atom introduced energy levels (electron orbits)?,Dalton model,Thomson plum pudding model,Rutherford nuclear model,Bohr model,Bohr's 1913 model proposed electrons orbit the nucleus in fixed energy levels without radiating. Electrons emit or absorb photons of specific energy when jumping between levels: E = hf = E_i - E_f. This explained hydrogen's discrete emission spectrum but was later superseded by quantum mechanics.
What is the de Broglie wavelength?,The minimum wavelength of X-rays,The wavelength of a photon,The spread of energy levels in an atom,The wavelength associated with a moving particle,"De Broglie (1924) proposed all matter has wave properties with wavelength λ = h/p = h/mv. This wave-particle duality was confirmed by electron diffraction experiments. Electrons in electron microscopes have very short de Broglie wavelengths, giving much better resolution than light microscopes."
"In radioactive beta-minus decay, the nucleus emits:",A positron and a neutrino,A helium nucleus,A photon,An electron and an antineutrino,"Beta-minus (β⁻) decay occurs when a neutron converts to a proton: n → p + e⁻ + ν̄_e. The nucleus emits an electron and an electron antineutrino. The atomic number increases by 1, mass number stays the same. Beta-plus decay emits a positron and neutrino."
What is nuclear fission?,Conversion of mass to electromagnetic radiation,Joining of light nuclei to form a heavier nucleus,Emission of alpha particles from a nucleus,Splitting of a heavy nucleus into smaller nuclei releasing energy,Nuclear fission occurs when a heavy nucleus (like uranium-235) splits into two smaller nuclei plus neutrons and energy. The energy comes from the mass difference (E = mc²). Chain reactions are used in nuclear reactors (controlled) and atomic bombs (uncontrolled).
Einstein's mass-energy equivalence is expressed as:,E = m/c²,E = mv²,E = ½mc²,E = mc²,"Einstein's famous equation E = mc² from special relativity states that mass m and energy E are equivalent, related by the speed of light squared (c² = 9 × 10¹⁶ m²/s²). A tiny mass converts to enormous energy — the basis of nuclear power and the sun's energy output."
What is the half-life of a radioactive substance?,Time for the substance to lose half its mass,Time for all nuclei to decay,Time for activity to reach zero,Time for half of the radioactive nuclei to decay,"Half-life T₁/₂ is the time for half the radioactive nuclei in a sample to decay. After n half-lives, the fraction remaining is (½)ⁿ. Half-lives range from nanoseconds (unstable isotopes) to billions of years (uranium-238: 4.5 × 10⁹ years)."
The photoelectric effect demonstrates that light behaves as:,Transverse waves,Waves only,Continuous radiation,Particles (photons),The photoelectric effect cannot be explained by wave theory — it requires light to be quantised into photons of energy E = hf. A photon must have enough energy (above the work function) to eject an electron; intensity (number of photons) does not matter if frequency is too low.
"In special relativity, time dilation means:",Energy decreases with speed,Moving objects become longer,Mass decreases at high speeds,Moving clocks run slower than stationary ones,Time dilation: Δt = γΔt₀ where γ = 1/√(1-v²/c²) ≥ 1. A clock moving relative to an observer runs slower (appears to tick more slowly). This has been verified experimentally with atomic clocks on aircraft and GPS satellites (which require relativistic corrections to maintain accuracy).
What is the work function in photoelectric emission?,Both A and C,Maximum kinetic energy of emitted electrons,Energy of a photon at threshold frequency,Minimum energy needed to free an electron from the metal surface,"The work function φ is the minimum energy required to liberate an electron from the surface of a specific metal. It equals hf₀ where f₀ is the threshold (minimum) frequency. If photon energy hf > φ, the excess becomes kinetic energy of the emitted electron: KE = hf - φ."
Nuclear fusion is the primary energy source of:,Hydroelectric dams,Nuclear power plants,Chemical batteries,Stars including the Sun,"Stars generate energy through nuclear fusion: hydrogen nuclei (protons) fuse to form helium, releasing energy via E = Δmc². In the Sun, about 600 million tonnes of hydrogen fuse per second. Nuclear power plants use fission, not fusion. Fusion reactors (e.g., ITER) are still experimental."
The uncertainty principle (Heisenberg) states:,Quantum states are always uncertain,Energy and mass are related by E = mc²,All measurements have experimental error,Position and momentum cannot both be known precisely simultaneously,"Heisenberg's uncertainty principle: Δx·Δp ≥ ℏ/2. The more precisely position is known, the less precisely momentum can be known and vice versa. This is a fundamental property of quantum systems, not just a limitation of measurement — it reflects the wave nature of particles."
Alpha radiation is:,Positrons,High-energy electrons,High-energy photons,Helium nuclei (2 protons + 2 neutrons),"Alpha particles (α) are identical to helium-4 nuclei: 2 protons and 2 neutrons, charge +2. They are the most ionising but least penetrating radiation — stopped by a few centimetres of air or a sheet of paper. Their high mass and charge make them effective at causing biological damage internally."
Which electromagnetic wave has the longest wavelength?,Ultraviolet waves,Gamma rays,X-rays,Radio waves,The electromagnetic spectrum from longest to shortest wavelength: radio waves > microwaves > infrared > visible > ultraviolet > X-rays > gamma rays. Radio waves can have wavelengths from metres to kilometres. Gamma rays have wavelengths shorter than 0.01 nm.
What is the critical angle in optics?,Angle between incident and reflected rays,Angle at which light is totally absorbed,Angle at which dispersion is maximum,Angle of incidence in a denser medium for which refracted angle is 90°,"The critical angle θ_c is defined by sin θ_c = n₂/n₁ (for n₁ > n₂). At this angle, refracted light travels along the boundary (90° to normal). Above θ_c, total internal reflection occurs. For glass-air (n≈1.5), θ_c ≈ 42°."
Hooke's law states that the extension of a spring is:,Independent of the applied force,Proportional to the square of applied force,Inversely proportional to applied force,Proportional to the applied force (within elastic limit),"Hooke's law: F = kx, where k is the spring constant (N/m) and x is extension. It applies within the elastic limit — beyond this, the spring deforms permanently. The spring constant measures stiffness: larger k means stiffer spring requiring more force per unit extension."
Pressure is defined as:,Weight per unit volume,Force times area,Mass per unit volume,Force per unit area,"Pressure P = F/A, where F is force (N) and A is area (m²). The SI unit is the pascal (Pa = N/m²). The same force applied over smaller area creates greater pressure — explaining why stiletto heels damage floors more than flat shoes."
Archimedes' principle states that the upthrust on an object equals:,Volume of the object times gravity,Weight of the object,Mass of fluid displaced,Weight of fluid displaced by the object,"Archimedes' principle: upthrust (buoyant force) = weight of fluid displaced = ρ_fluid × V_displaced × g. An object floats when upthrust equals its weight. A ship floats by displacing seawater equal to its own weight, despite being made of dense steel."
The speed of light in vacuum is approximately:,3.0 × 10⁴ m/s,3.0 × 10⁶ m/s,3.0 × 10¹⁰ m/s,3.0 × 10⁸ m/s,"The speed of light in vacuum c = 2.998 × 10⁸ m/s ≈ 3.0 × 10⁸ m/s. This is one of the fundamental constants of nature. According to special relativity, it is the universal speed limit — no object with mass can reach or exceed c."
Simple harmonic motion (SHM) is characterised by:,Exponentially increasing displacement,Constant velocity,Force independent of displacement,Restoring force proportional to displacement,"In SHM, the restoring force F = -kx is always directed toward and proportional to the displacement from equilibrium. This produces sinusoidal oscillation. Examples: mass-spring system, simple pendulum (small angles), LC circuit oscillations."
What is the period of a simple pendulum of length 1 m? (g = 10 m/s²),10 s,1 s,π s,Approximately 2 s,"Period T = 2π√(L/g) = 2π√(1/10) = 2π/√10 ≈ 2π/3.16 ≈ 1.99 ≈ 2 s. The period is independent of amplitude (for small angles) and mass. Doubling length increases period by √2, not 2."
Bernoulli's principle states that in fluid flow:,Pressure is constant throughout flowing fluid,"Where fluid speed is high, pressure is high",Fluid speed and pressure are unrelated,"Where fluid speed is high, pressure is low","Bernoulli's principle: P + ½ρv² + ρgh = constant along a streamline. Where fluid speed increases (e.g., through a narrow section), static pressure decreases. This explains aircraft lift, the Venturi effect, and why a shower curtain gets pulled inward."
What does a capacitor do in a DC circuit after being fully charged?,Acts as a resistor,Allows constant current to flow,Acts as a short circuit,Blocks further current flow,"Once a capacitor is fully charged (voltage across it equals supply voltage), no further current flows — the electric field opposes any more charge flow. In DC circuits, a capacitor fully charges then blocks current. In AC circuits, it repeatedly charges and discharges, allowing AC to 'pass'."
What is the rms (root mean square) voltage of a UK mains supply rated at 230 V?,460 V,325 V,163 V,230 V,The 230 V mains rating IS the rms voltage. The peak voltage V_peak = V_rms × √2 ≈ 325 V. The rms value is used because it represents the equivalent DC voltage that would deliver the same power. Power ratings for appliances are calculated using rms values.
Which particle mediates the electromagnetic force?,Graviton,Gluon,W boson,Photon,"The photon is the force carrier (gauge boson) of the electromagnetic force in quantum field theory (QED). Virtual photons are exchanged between charged particles, producing attraction or repulsion. Gluons carry the strong force, W/Z bosons carry the weak force, and gravitons (hypothetical) carry gravity."
What is the name of the process by which atomic nuclei combine to release energy?,Nuclear transmutation,Nuclear fission,Radioactive decay,Nuclear fusion,"Nuclear fusion is the joining of light nuclei (e.g., deuterium and tritium) to form a heavier nucleus, releasing enormous energy due to the mass defect (E = Δmc²). It powers the Sun and hydrogen bombs. Controlled fusion energy is the goal of projects like ITER."
What is the relationship between electric field E and electric potential V?,E = dV/dr,E = V × r,E = V/r²,E = -dV/dr (field is negative gradient of potential),"The electric field is the negative gradient of electric potential: E = -dV/dr. The negative sign means field points from high to low potential. In a uniform field, E = -ΔV/Δd. This relationship allows electric field to be calculated from potential measurements."
The phenomenon of superconductivity involves:,Infinite magnetic permeability,Perfect transparency to light,Maximum thermal conductivity,Zero electrical resistance below a critical temperature,"Superconductivity occurs in certain materials cooled below a critical temperature (T_c). Electrical resistance drops to exactly zero, allowing current to flow indefinitely without energy loss. Superconductors also expel magnetic fields (Meissner effect). Applications include MRI machines and particle accelerators."
What does polarisation of light demonstrate?,That light has a fixed speed,That light is a longitudinal wave,That light can travel through a vacuum,That light is a transverse wave,"Polarisation restricts the oscillation of electromagnetic waves to a single plane. Only transverse waves can be polarised (longitudinal waves oscillate along the direction of travel, so direction cannot be restricted). Polarised sunglasses use this to block glare from horizontal surfaces."
What is the principle of conservation of energy?,The total force on a system is zero,Kinetic energy is always conserved,Total momentum of a system is constant,"Energy cannot be created or destroyed, only transformed","The law of conservation of energy states that the total energy of an isolated system remains constant. Energy transforms between forms (kinetic, potential, thermal, chemical, nuclear) but the total is always conserved. This is one of the most fundamental laws in physics."
What is the Heisenberg uncertainty principle's effect on atomic structure?,Atomic radius is fixed,Electrons always travel in circular paths,Electron energy levels are continuous,Electrons cannot have precisely defined orbits,"Because Δx·Δp ≥ ℏ/2, confining an electron near a nucleus (small Δx) means its momentum is highly uncertain (large Δp). Electrons cannot have fixed classical orbits; instead, they exist in probability clouds (orbitals). This replaces Bohr's circular orbits with quantum mechanical wavefunctions."
"Which type of spectrum is produced by a hot, dense gas or solid?",Band spectrum,Line emission spectrum,Absorption spectrum,Continuous spectrum,"A hot, dense body (solid, liquid, or dense gas) emits a continuous blackbody spectrum covering all wavelengths. A hot, low-density gas produces a line emission spectrum (discrete wavelengths). A cool gas in front of a hot source produces an absorption spectrum with dark lines at the same wavelengths."
What is the unit of electric charge?,Farad,Ampere,Volt,Coulomb,"The SI unit of electric charge is the coulomb (C), named after Charles-Augustin de Coulomb. 1 coulomb = the charge transported by 1 ampere of current in 1 second (1 C = 1 A·s). The electron charge is -1.6 × 10⁻¹⁹ C, so 1 coulomb represents about 6.24 × 10¹⁸ electrons."
What does the term 'work function' refer to in the context of the photoelectric effect?,Speed of electrons after emission,Maximum wavelength of light that causes emission,Number of electrons emitted per photon,Minimum energy to release an electron from the metal,"The work function φ (phi) is the minimum energy needed to remove an electron from the surface of a specific metal. It is a material property. Einstein's equation for photoelectric emission: KE_max = hf - φ. If hf < φ, no electrons are emitted regardless of intensity."
Which law describes the force between two point charges?,Faraday's law,Gauss's law,Ampere's law,Coulomb's law,"Coulomb's law: F = kq₁q₂/r², where k = 8.99 × 10⁹ N·m²/C². The electrostatic force is proportional to each charge and inversely proportional to the square of the distance, analogous in form to Newton's law of gravitation. Like charges repel; unlike charges attract."
What is the unit of frequency?,Second,Radian,Newton,Hertz,"Frequency is measured in hertz (Hz), where 1 Hz = 1 cycle per second. It was named after Heinrich Hertz, who first demonstrated radio waves. The hertz is equivalent to s⁻¹ in SI base units."
A satellite in a higher orbit has a longer orbital period because:,Air resistance is greater higher up,It moves faster at greater distance,Its mass increases with altitude,Gravitational force is weaker at greater distance,"By Kepler's third law (T² ∝ r³), higher orbits have longer periods. At greater distance, gravitational force is weaker (F ∝ 1/r²), so the satellite moves slower and must travel a longer path, both of which increase the period."
The centre of mass of a system is the point where:,Rotational speed is maximum,All forces on the system act,Gravitational potential energy is zero,The total mass can be considered to act for translational motion,"The centre of mass (CM) is the weighted average position of all mass in a system. For translational motion, the entire system's mass can be treated as if concentrated at the CM. External forces cause the CM to accelerate according to F_net = M_total × a_cm."
Which of the following is a scalar quantity?,Momentum,Force,Acceleration,Energy,"Energy is a scalar quantity — it has magnitude but no direction. Scalars include: mass, time, temperature, speed, work, power, and energy. Vectors require both magnitude and direction: force, velocity, acceleration, and momentum are all vectors."
"When a ball bounces elastically off a wall, which quantity is reversed?",Mass,Speed,Kinetic energy,Velocity component perpendicular to the wall,"In a perfectly elastic collision with a wall, the speed remains the same but the velocity component perpendicular to the wall is reversed. The component parallel to the wall is unchanged. Kinetic energy (½mv²) is conserved since speed is unchanged."
Centripetal acceleration is directed:,Opposite to the velocity,Away from the centre of the circular path,Tangentially to the circular path,Toward the centre of the circular path,"Centripetal acceleration a_c = v²/r is always directed toward the centre of the circular path. It is required to continuously change the direction of velocity (even at constant speed). The corresponding centripetal force F = mv²/r is provided by tension, gravity, friction, or the normal force."
"A 60 kg person stands on a 40 kg skateboard. Both are initially at rest. If the person jumps off at 3 m/s, how fast does the skateboard move?",1.5 m/s in the opposite direction,3 m/s in the same direction,7 m/s in the opposite direction,4.5 m/s in the opposite direction,"Conservation of momentum: total initial momentum = 0. So m_person × v_person + m_board × v_board = 0. 60 × 3 + 40 × v_board = 0, giving v_board = -180/40 = -4.5 m/s. The minus sign means it moves opposite to the person."
What is the potential energy stored in a spring with spring constant 200 N/m compressed by 0.1 m?,0.1 J,20 J,10 J,1 J,Elastic PE = ½kx² = ½ × 200 × (0.1)² = ½ × 200 × 0.01 = 1 J. This energy converts to kinetic energy when the spring is released. Note the x² dependence: doubling compression quadruples stored energy.
Which principle allows aircraft wings to generate lift?,Archimedes' principle,Newton's third law only,Pascal's principle,Bernoulli's principle,"Aircraft wings (aerofoils) are shaped so air flows faster over the curved upper surface than the flatter lower surface. By Bernoulli's principle, faster-moving air exerts less pressure, creating lower pressure above the wing. The pressure difference generates upward lift force."
The moment of a force (torque) depends on:,Force and velocity,Force magnitude and area of contact,Mass and angular velocity,Force magnitude and perpendicular distance from pivot,"Torque τ = F × d, where F is the force magnitude and d is the perpendicular distance (lever arm) from the pivot to the line of action of the force. A longer lever arm produces greater torque for the same force, which is why long wrenches are used to loosen tight bolts."
Friction between surfaces converts kinetic energy into:,Chemical energy,Potential energy,Light energy,Thermal energy (heat),Kinetic friction converts the kinetic energy of moving surfaces into thermal energy through molecular interactions. This is why sliding objects slow down and surfaces become warm. The thermal energy generated equals the work done against friction: W_friction = f_k × d.
Which of the following correctly describes a perfectly inelastic collision?,Momentum is not conserved,All kinetic energy is conserved,Objects bounce off with the same speeds,Objects stick together and have maximum kinetic energy loss,"In a perfectly inelastic collision, colliding objects stick together and move as one. This results in the maximum possible loss of kinetic energy (while still conserving momentum). The lost kinetic energy goes into deformation, heat, and sound. Example: clay balls sticking together."
The angular velocity of a wheel that completes 5 revolutions per second is:,5π rad/s,5 rad/s,2π rad/s,10π rad/s,"Angular velocity ω = 2πf, where f is frequency in revolutions per second. So ω = 2π × 5 = 10π ≈ 31.4 rad/s. One revolution = 2π radians. Angular velocity is related to linear speed by v = ωr."
What does 'conservative force' mean?,Force that is always constant,Force that conserves momentum,Force that does no work,Work done is independent of the path taken,"A conservative force (e.g., gravity, spring force, electric force) does work independent of the path — only the start and end points matter. Potential energy can be defined for conservative forces. Friction is non-conservative: work done depends on path length."
A 10 N force is applied at 60° to the horizontal to push a box. The horizontal component of force is:,17.3 N,8.66 N,10 N,5 N,"Horizontal component = F cos θ = 10 × cos 60° = 10 × 0.5 = 5 N. Vertical component = F sin 60° = 10 × 0.866 = 8.66 N. Vector components are found using trigonometry. The horizontal component contributes to horizontal motion, while the vertical component affects the normal force."
Pascal's principle states that pressure applied to an enclosed fluid:,Is absorbed by the container walls,Decreases with depth,Acts only downward due to gravity,Is transmitted equally in all directions,Pascal's principle: pressure applied to any part of an enclosed fluid is transmitted undiminished to all other parts. This is the basis of hydraulic systems — a small force on a small piston creates a large force on a large piston: F₁/A₁ = F₂/A₂.
The pressure at depth h in a fluid of density ρ is:,ρh/g,ρg/h,mgh,ρgh (plus atmospheric pressure at surface),"Hydrostatic pressure P = P₀ + ρgh, where P₀ is surface pressure, ρ is fluid density, g is gravity, and h is depth. Pressure increases linearly with depth. This is why water pressure at the bottom of the ocean is millions of pascals higher than at the surface."
What is viscosity?,Speed of a fluid,Density of a fluid,Pressure exerted by a fluid,Resistance of a fluid to flow,"Viscosity is a measure of a fluid's internal friction or resistance to flow. High-viscosity fluids (honey, engine oil) flow slowly; low-viscosity fluids (water, air) flow easily. Viscosity decreases with increasing temperature for liquids but increases for gases."
"In a hydraulic press, a force of 100 N is applied on a piston of area 0.01 m². What force is exerted on a piston of area 0.5 m²?",2 N,100 N,500 N,5000 N,"By Pascal's principle: F₁/A₁ = F₂/A₂. So F₂ = F₁ × A₂/A₁ = 100 × 0.5/0.01 = 5000 N. Hydraulic systems multiply force by the ratio of piston areas. This is how car brakes, lifts, and heavy machinery operate."
A floating object displaces a volume of water whose weight equals:,The mass of the object,The volume of the object,The density of the object,The weight of the floating object,"By Archimedes' principle, a floating object is in equilibrium: upthrust = weight. The upthrust equals the weight of fluid displaced. So the floating object displaces a volume of water whose weight equals the object's own weight. Ships work on this principle."
What is the effect of doubling the voltage in a circuit with fixed resistance?,Current remains the same,Current halves,Current quadruples,Current doubles,"By Ohm's law V = IR, if R is constant and V doubles, then I = V/R also doubles. The power P = I²R = V²/R quadruples (since both I and V double). This is why high-voltage devices draw more power."
A solenoid is:,A material with no electrical resistance,A device that converts AC to DC,A type of capacitor,A coil of wire that creates a magnetic field when current flows through it,"A solenoid is a long coil of wire. When current flows, it creates a uniform magnetic field inside, similar to a bar magnet. The field strength B = μ₀nI, where n is turns per unit length and I is current. Solenoids are used in electromagnets, inductors, and MRI machines."
What is the purpose of a diode in an electrical circuit?,Increase resistance in proportion to current,Increase voltage,Store electrical charge,Allow current to flow in one direction only,"A diode is a semiconductor device that allows current flow predominantly in one direction (forward bias) and blocks it in the other (reverse bias). Diodes are used for rectification (converting AC to DC), signal demodulation, and as light-emitting diodes (LEDs)."
The magnetic field lines around a straight current-carrying conductor are:,Spirals diverging from the conductor,Straight lines parallel to the conductor,Straight lines perpendicular to the conductor,Concentric circles centred on the conductor,"Around a straight conductor, magnetic field lines form concentric circles centred on the wire. The field direction is given by the right-hand grip rule: wrap the right hand around the wire with the thumb pointing in current direction; fingers curl in field direction."
"When the frequency of AC in a capacitor circuit increases, the capacitive reactance:",Becomes infinite,Increases,Remains constant,Decreases,"Capacitive reactance X_C = 1/(2πfC). As frequency f increases, X_C decreases, so a capacitor passes higher frequency AC more easily. At DC (f = 0), X_C = ∞ — the capacitor blocks DC completely. This makes capacitors useful as high-pass filters."
What is the RMS current if the peak current is 10 A?,5 A,10 A,14.14 A,7.07 A,"For a sinusoidal AC signal, I_rms = I_peak/√2 = 10/1.414 ≈ 7.07 A. The rms value is the equivalent DC current that delivers the same power. Power P = I_rms² × R = (I_peak/√2)² × R = I_peak² × R/2."
Electric field lines originate from:,Conductors toward insulators,Negative charges and terminate on positive charges,Areas of high potential toward low potential,Positive charges and terminate on negative charges,"Electric field lines start (originate) on positive charges and end (terminate) on negative charges. They represent the direction a positive test charge would move. Field lines never cross, and their density indicates field strength. They enter conductors perpendicularly."
What is the energy stored in a capacitor of capacitance C charged to voltage V?,½CV,CV²,CV,½CV²,"Energy stored in a capacitor E = ½CV² = ½QV = Q²/(2C). The factor of ½ arises because as charge builds up, the voltage increases, making each subsequent charge element harder to add. This is analogous to elastic PE = ½kx² in a spring."
"A transformer has 100 turns in the primary and 1000 turns in the secondary. If the primary voltage is 12 V, what is the secondary voltage?",1200 V,1.2 V,12 V,120 V,For an ideal transformer: V_s/V_p = N_s/N_p. So V_s = 12 × (1000/100) = 12 × 10 = 120 V. This is a step-up transformer (increases voltage). A step-down transformer has fewer turns in the secondary. Power is conserved: V_p × I_p = V_s × I_s.
The force between two parallel current-carrying conductors is:,Zero regardless of current direction,Always repulsive,Repulsive if currents flow in the same direction,Attractive if currents flow in the same direction,Parallel conductors with current in the same direction attract each other; opposite currents repel. This is because each conductor's magnetic field exerts a force on the other's current. The ampere was historically defined using this force between parallel conductors.
Ground (earth) connection in electrical circuits is used to:,Increase efficiency,Increase current flow,Reduce resistance,Provide safety by preventing dangerous voltages on equipment cases,"Earthing connects metal casings of appliances to ground (earth potential). If a fault causes live wire contact with the casing, current flows safely to earth rather than through a person touching it. This causes the fuse or circuit breaker to trip, cutting off the supply."
What is electromotive force (EMF)?,Force on charges in a magnetic field,The maximum current a battery can supply,Resistance within a battery,Energy provided per unit charge by a source,"EMF (ε) is the energy supplied per coulomb of charge by a source (battery, generator): ε = W/Q, measured in volts. It is not a force but energy per charge. The terminal voltage of a battery equals EMF minus the voltage drop across internal resistance: V = ε - Ir."
Which phenomenon explains the rainbow?,Polarisation of sunlight,Interference of light waves,Diffraction around raindrops,Dispersion and total internal reflection in water droplets,"Rainbows form when sunlight enters raindrops, undergoes refraction (and dispersion into colours), internal reflection, then refracts again on exit. Different colours exit at slightly different angles (42° for red, 40° for violet). This separates white light into the spectrum."
Electromagnetic waves are produced by:,Gravitational fields,Moving magnets only,Static electric charges,Accelerating electric charges,"Accelerating (or oscillating) electric charges produce oscillating electric and magnetic fields that propagate as electromagnetic waves. Radio antennas work by oscillating electrons, producing radio waves. The Sun's thermal motion of charged particles produces light and other EM radiation."
The loudness of a sound depends on its:,Speed,Frequency,Wavelength,Amplitude (intensity),"Loudness is the perceptual correlate of amplitude (or intensity, which is proportional to amplitude squared). A larger amplitude means more energy per second passes through a surface, producing louder sound. Frequency determines pitch; wavelength and speed are related (v = fλ)."
What is meant by 'coherent' light sources?,Sources that don't interact with each other,Sources producing the same intensity,Sources with the same colour,Sources with constant phase relationship and same frequency,Coherent sources have a constant phase relationship (phase difference doesn't change over time) and the same frequency. Coherence is required for stable interference patterns. Lasers are highly coherent. Normal light bulbs are incoherent (random phase). Young's double slit requires coherent illumination.
The law of reflection states:,Angle of incidence plus reflection equals 90°,Reflected angle equals twice the incident angle,Reflected ray is perpendicular to the surface,Angle of incidence equals angle of reflection,"The law of reflection: angle of incidence = angle of reflection (both measured from the normal to the surface). The incident ray, reflected ray, and normal all lie in the same plane. This applies to all types of waves, not just light."
A concave mirror can form which types of images?,"Only upright, magnified images",Only virtual images,"Only real, inverted images","Both real and virtual, depending on object position","A concave mirror forms: a real, inverted, diminished image (object beyond C), a real inverted same-size image (object at C), a real inverted magnified image (object between C and F), and a virtual, upright, magnified image (object between F and mirror). Position determines image type."
What is the refractive index of water if light travels at 2.25 × 10⁸ m/s in it?,3.0,0.75,2.25,1.33,n = c/v = (3.0 × 10⁸)/(2.25 × 10⁸) = 3.0/2.25 = 1.33. Water's refractive index of 1.33 means light travels 1.33 times slower in water than in vacuum. This causes light to bend toward the normal when entering water from air.
Sound cannot travel through:,Air,Water,Steel,Vacuum,"Sound is a mechanical wave that requires a medium of particles to travel through (by vibrating and passing energy along). A vacuum has no particles, so sound cannot propagate. This is why space is silent. Sound travels fastest through solids (steel ~5000 m/s), slower through liquids, slowest through gases."
The beats phenomenon occurs when:,A wave refracts at a boundary,Two waves of the same frequency interfere constructively,A wave reflects off a hard surface,Two waves of slightly different frequencies superpose,"Beats are periodic variations in amplitude (and hence loudness for sound) produced when two waves of slightly different frequencies f₁ and f₂ superpose. Beat frequency = |f₁ - f₂|. Musicians use beats to tune instruments — when two strings are in tune, beats disappear."
Infrared radiation is used in thermal imaging because:,Infrared is produced only by hot objects above 500°C,Infrared travels faster than visible light,Infrared reflects off all surfaces,All objects at normal temperatures emit infrared radiation,"All objects above absolute zero emit thermal (blackbody) radiation. At room temperature (~300 K), emission peaks in the infrared region (~10 μm wavelength). Thermal cameras detect this IR emission to produce images of temperature distribution, useful in medicine, firefighting, and night vision."
"In a convex lens, if the object is at the focal point:",The image forms between the lens and focal point,"A real, inverted image forms at infinity","A virtual, upright image forms at the focal point",Refracted rays are parallel and no image is formed,"When an object is at the focal point F of a converging lens, the refracted rays emerge parallel (they don't converge). In the thin lens equation (1/v - 1/u = 1/f), with u = f, v = ∞. Practically, this is how a collimated flashlight beam or search light is made."
What is the principle behind a microwave oven?,Microwaves reflect off food to concentrate energy,Microwaves raise the temperature of all materials equally,Microwaves ionise food molecules,"Microwaves cause water molecules to rotate, generating heat","Microwave ovens produce radiation at 2.45 GHz, which causes polar water molecules in food to continuously rotate trying to align with the oscillating electric field. This molecular rotation produces thermal energy (heat) throughout the food, cooking it more evenly and quickly than conventional heating."
What is meant by thermal equilibrium?,Zero entropy state,Maximum possible temperature of a system,Equal thermal energy in two objects,Two objects at the same temperature with no net heat flow between them,"Thermal equilibrium occurs when two objects in contact reach the same temperature and no net heat flows between them. The zeroth law of thermodynamics states: if A is in equilibrium with B, and B with C, then A is in equilibrium with C. This is the basis for thermometry."
During an adiabatic compression of a gas:,Internal energy decreases,Temperature decreases,Heat is absorbed from surroundings,Temperature increases and no heat is exchanged,"In an adiabatic process, no heat exchange occurs (Q = 0). From the first law: ΔU = -W. Compression (W < 0, work done on gas) means ΔU > 0, so temperature increases. Diesel engines use adiabatic compression to ignite fuel without a spark plug."
